feature,coefficient,p_value,abs_coefficient,bucket
ec_Location_s7:C(sex)[Male]:C(age_binary)[old],-1.1643,0.002,1.1643,sociability
sleep_end_s7:C(sex)[Female]:C(age_binary)[old],1.1564,0.0,1.1564,sleep
sleep_duration_s14:C(sex)[Female]:C(age_binary)[young],1.1529,0.0,1.1529,sleep
device_use_percent_m14:C(sex)[Male]:C(age_binary)[young],-1.1279,0.001,1.1279,device_usage
sleep_end_s7:C(sex)[Female]:C(age_binary)[young],1.1271,0.0,1.1271,sleep
activity_percent_m7:C(sex)[Male]:C(age_binary)[old],-1.1175,0.001,1.1175,activity
active_time_m7:C(sex)[Male]:C(age_binary)[old],-1.1175,0.001,1.1175,activity
device_use_percent_m14:C(sex)[Male]:C(age_binary)[old],-1.0923,0.029,1.0923,device_usage
walking_rate_s7:C(sex)[Male]:C(age_binary)[young],-1.0692,0.0,1.0692,activity
loc_entropy_m14:C(sex)[Male]:C(age_binary)[old],-1.0646,0.002,1.0646,sociability
time_at_location_2_m7:C(sex)[Male]:C(age_binary)[old],-1.0581,0.016,1.0581,sociability
step_count_m7:C(sex)[Male]:C(age_binary)[old],-1.051,0.001,1.051,activity
walking_rate_s14:C(sex)[Male]:C(age_binary)[young],-1.0475,0.0,1.0475,activity
time_at_location_2_s7:C(sex)[Male]:C(age_binary)[old],-1.0454,0.023,1.0454,sociability
loc_entropy_s7:C(sex)[Male]:C(age_binary)[old],-1.0451,0.002,1.0451,sociability
device_use_percent_m7:C(sex)[Male]:C(age_binary)[young],-1.0387,0.003,1.0387,device_usage
num_location_clusters_m14:C(sex)[Male]:C(age_binary)[old],-1.0369,0.002,1.0369,sociability
display_events_s14:C(sex)[Male]:C(age_binary)[young],-1.0279,0.001,1.0279,device_usage
total_location_duration_s7:C(sex)[Male]:C(age_binary)[old],-1.0262,0.033,1.0262,sociability
step_count_s14:C(sex)[Male]:C(age_binary)[old],-1.0132,0.004,1.0132,activity
loc_entropy_m7:C(sex)[Male]:C(age_binary)[old],-1.011,0.004,1.011,sociability
sleep_routine_index_m7:C(sex)[Male]:C(age_binary)[old],-1.0024,0.0,1.0024,sleep
display_events_s7:C(sex)[Male]:C(age_binary)[young],-0.9985,0.003,0.9985,device_usage
ec_Activity_m7:C(sex)[Male]:C(age_binary)[old],-0.9985,0.023,0.9985,activity
ec_DeviceDisplayStatus_s7:C(sex)[Male]:C(age_binary)[young],-0.9975,0.0,0.9975,device_usage
ec_PedometerData_s7:C(sex)[Male]:C(age_binary)[old],-0.9974,0.032,0.9974,activity
ec_Activity_m14:C(sex)[Male]:C(age_binary)[old],-0.9911,0.022,0.9911,activity
sleep_duration_s7:C(sex)[Female]:C(age_binary)[young],0.9794,0.0,0.9794,sleep
chronotype_score_m14:C(sex)[Female]:C(age_binary)[young],0.974,0.0,0.974,sleep
total_location_duration_s14:C(sex)[Male]:C(age_binary)[young],-0.974,0.002,0.974,sociability
total_activity_duration_s14:C(sex)[Male]:C(age_binary)[old],-0.9708,0.017,0.9708,activity
chronotype_score_m7:C(sex)[Female]:C(age_binary)[young],0.9553,0.0,0.9553,sleep
device_use_percent_s7:C(sex)[Male]:C(age_binary)[young],-0.9533,0.003,0.9533,device_usage
time_at_location_2_m14:C(sex)[Male]:C(age_binary)[young],-0.9482,0.001,0.9482,sociability
sleep_duration_s7:C(sex)[Female]:C(age_binary)[old],0.9459,0.0,0.9459,sleep
device_use_percent_s14:C(sex)[Male]:C(age_binary)[old],-0.9445,0.02,0.9445,device_usage
num_location_clusters_m7:C(sex)[Male]:C(age_binary)[old],-0.9432,0.005,0.9432,sociability
sleep_routine_index_m7:C(sex)[Male]:C(age_binary)[young],-0.9416,0.0,0.9416,sleep
ec_Activity_s7:C(sex)[Male]:C(age_binary)[old],-0.9412,0.018,0.9412,activity
steps_least_active_5h_s14:C(sex)[Male]:C(age_binary)[old],-0.9376,0.017,0.9376,activity
time_at_location_4_m14:C(sex)[Male]:C(age_binary)[young],-0.9363,0.006,0.9363,sociability
time_at_location_2_s14:C(sex)[Male]:C(age_binary)[young],-0.9287,0.004,0.9287,sociability
activity_percent_s14:C(sex)[Male]:C(age_binary)[old],-0.9242,0.004,0.9242,activity
active_time_s14:C(sex)[Male]:C(age_binary)[old],-0.9242,0.004,0.9242,activity
travel_diameter_s14:C(sex)[Male]:C(age_binary)[young],-0.9218,0.0,0.9218,sociability
time_at_home_m14:C(sex)[Female]:C(age_binary)[young],0.9207,0.0,0.9207,sociability
device_use_percent_s14:C(sex)[Male]:C(age_binary)[young],-0.9183,0.002,0.9183,device_usage
ec_Activity_s14:C(sex)[Male]:C(age_binary)[old],-0.9143,0.02,0.9143,activity
sleep_duration_s14:C(sex)[Female]:C(age_binary)[old],0.9129,0.003,0.9129,sleep
walking_rate_s14:C(sex)[Male]:C(age_binary)[old],-0.9088,0.001,0.9088,activity
time_at_location_4_s7:C(sex)[Male]:C(age_binary)[young],-0.901,0.012,0.901,sociability
sleep_routine_index_m14:C(sex)[Male]:C(age_binary)[old],-0.8905,0.0,0.8905,sleep
screen_unlocks_s7:C(sex)[Male]:C(age_binary)[old],-0.8864,0.041,0.8864,device_usage
sleep_start_s7:C(sex)[Female]:C(age_binary)[old],0.8842,0.001,0.8842,sleep
num_location_clusters_s7:C(sex)[Female]:C(age_binary)[old],-0.8806,0.0,0.8806,sociability
ec_DeviceDisplayStatus_s14:C(sex)[Male]:C(age_binary)[young],-0.8731,0.0,0.8731,device_usage
ec_DeviceDisplayStatus_m7:C(sex)[Male]:C(age_binary)[young],-0.8685,0.0,0.8685,device_usage
sleep_routine_index_m14:C(sex)[Male]:C(age_binary)[young],-0.8652,0.0,0.8652,sleep
walking_rate_s7:C(sex)[Male]:C(age_binary)[old],-0.8633,0.004,0.8633,activity
step_count_s7:C(sex)[Male]:C(age_binary)[old],-0.8562,0.02,0.8562,activity
